"ResultId","WordLength","Date","Journal","Risk","Year","Focus","Facts.Causes","Facts.Mitigation","Facts.Populations","Framing.Causes","Framing.Mitigation","Framing.Solutions","Framing.Populations","Sentiment","Threat","Demographics"
"urn:contentItem:46DF-5DJ0-010F-K31N-00000-00",538,"2002-07-31 00:00:00+00:00","USA Today","Homocide",2002,"Mentions once","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-8","8",""
"urn:contentItem:48CG-8050-01DF-Y1PX-00000-00",468,"2003-04-15 00:00:00+00:00","Tampa Bay Times","Homocide",2003,"Mostly","Not mentioned and not implied","Not mentioned and not implied","{'Demographics': [{'Gender': 'female', 'Age': 'young-adult, adult'}]}","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Only individual","-9","10",""
"urn:contentItem:48HW-9CJ0-01KN-2064-00000-00",1406,"2003-05-06 00:00:00+00:00","New York Times","Homocide",2003,"Mentions once","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-8","8",""
"urn:contentItem:4841-86J0-01DF-Y49N-00000-00",432,"2003-03-11 00:00:00+00:00","Tampa Bay Times","Homocide",2003,"Mostly","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-10","8",""
"urn:contentItem:49D8-8NN0-01DF-Y1NT-00000-00",701,"2003-08-28 00:00:00+00:00","Tampa Bay Times","Homocide",2003,"Mentions once","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-8","8",""
"urn:contentItem:47KM-YC80-01KN-20VB-00000-00",109,"2003-01-03 00:00:00+00:00","New York Times","Homocide",2003,"Not at all","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-8","9",""
"urn:contentItem:4BXX-M770-01DF-Y277-00000-00",372,"2004-03-15 00:00:00+00:00","Tampa Bay Times","Homocide",2004,"Mostly","Lifestyle","Not mentioned and not implied","{'Race': 'Not mentioned', 'Gender': 'Not mentioned', 'Age': 'Not mentioned', 'SES': 'Not mentioned'}","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-10","10",""
"urn:contentItem:4CJJ-6TP0-TW8F-G135-00000-00",1355,"2004-06-06 00:00:00+00:00","New York Times","Homocide",2004,"Slightly","Environmental, Lifestyle","Community solutions, Not mentioned and not implied","Race = various, Gender = male, SES = poor","50","80","70","Mostly individual","-6","5",""
"urn:contentItem:4C57-46R0-TW8F-G1VV-00000-00",137,"2004-04-14 00:00:00+00:00","New York Times","Homocide",2004,"Mostly","Not mentioned and not implied","Not mentioned and not implied","{'Gender': 'female', 'Age': 'young-adult'}","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-10","10",""
"urn:contentItem:4BWD-TT40-01DF-Y506-00000-00",451,"2004-03-08 00:00:00+00:00","Tampa Bay Times","Homocide",2004,"Not at all","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","0","1",""
"urn:contentItem:4BK7-BRB0-01KN-218N-00000-00",1294,"2004-01-30 00:00:00+00:00","New York Times","Homocide",2004,"Mentions once","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","0","1",""
"urn:contentItem:4FX3-7MX0-01DF-Y0YF-00000-00",435,"2005-04-09 00:00:00+00:00","Tampa Bay Times","Homocide",2005,"Mentions once","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Both","0 Neutral","3",""
"urn:contentItem:4GTM-F000-TW8F-G31W-00000-00",1418,"2005-08-07 00:00:00+00:00","New York Times","Homocide",2005,"Not at all","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","0","1",""
"urn:contentItem:4HJY-60T0-TW8F-G3FC-00000-00",82,"2005-11-15 00:00:00+00:00","New York Times","Homocide",2005,"Slightly","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Only individual","-8","8",""
"urn:contentItem:4GWR-H1G0-TW8F-G2X1-00000-00",63,"2005-08-17 00:00:00+00:00","New York Times","Homocide",2005,"Slightly","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Only individual","-8","9",""
"urn:contentItem:4FB9-DRD0-01DF-Y0D9-00000-00",917,"2005-01-25 00:00:00+00:00","Tampa Bay Times","Homocide",2005,"Mentions once","Not mentioned and not implied","Policy, Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","50","80","Mostly individual","-8","7",""
"urn:contentItem:4K5W-D190-TX4Y-71R6-00000-00",3882,"2006-06-11 00:00:00+00:00","Tampa Bay Times","Homocide",2006,"Mostly","['Environmental', 'Lifestyle']","['Community solutions', 'Policy']","{'Race': 'white', 'Gender': 'female', 'Age': ['young-adult', 'adult'], 'SES': ['varied']}","30","40","60","Both","-8","9",""
"urn:contentItem:4MHN-PJR0-TW8F-G1S4-00000-00",133,"2006-12-08 00:00:00+00:00","New York Times","Homocide",2006,"Mostly","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly collective","-10","9",""
"urn:contentItem:4MR2-Y9T0-TX2T-W2RD-00000-00",1205,"2006-12-29 00:00:00+00:00","Star Tribune","Homocide",2006,"Mostly","['Environmental', 'Lifestyle']","['Innovations/Technology', 'Policy', 'Community solutions']","[{'Race': 'Not mentioned and not implied', 'Gender': 'Not mentioned and not implied', 'Age': 'Not mentioned and not implied', 'SES': 'Not mentioned and not implied'}]","{'score': 60, 'not mentioned': False}","{'score': 80, 'not mentioned': False}","90","Both","-8","8",""
"urn:contentItem:4JM5-1K60-TW8F-G358-00000-00",588,"2006-04-01 00:00:00+00:00","New York Times","Homocide",2006,"Mentions once","Not mentioned and not implied","Not mentioned and not implied","Age = young-adult","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-8","7",""
"urn:contentItem:4J9V-28R0-TW8F-G2B2-00000-00",857,"2006-02-21 00:00:00+00:00","New York Times","Homocide",2006,"Mostly","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-8","8",""
"urn:contentItem:4NNF-WVM0-TW8F-G35G-00000-00",1428,"2007-05-06 00:00:00+00:00","New York Times","Homocide",2007,"Mentions once","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","0","1",""
"urn:contentItem:4NGK-6CB0-TW8F-G2JR-00000-00",915,"2007-04-13 00:00:00+00:00","New York Times","Homocide",2007,"Mentions once","Not mentioned and not implied","['Innovations/Technology', 'Community solutions']","{'Race': 'Hispanic', 'SES': 'Working-class'}","Not mentioned and not implied","70","80","Mostly individual","-6","8",""
"urn:contentItem:4NDJ-TRP0-TX4Y-723R-00000-00",302,"2007-04-03 00:00:00+00:00","Tampa Bay Times","Homocide",2007,"Mostly","Lifestyle","Not mentioned and not implied","{'Age': 'young-adult', 'Gender': 'male'}","70","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-8","9",""
"urn:contentItem:4NG0-27F0-TX4Y-71W2-00000-00",420,"2007-04-10 00:00:00+00:00","Tampa Bay Times","Homocide",2007,"Mentions once","Not mentioned and not implied","Not mentioned and not implied","Gender = male, SES = poor","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-6","7",""
"urn:contentItem:4PXG-GS00-TX4Y-70DF-00000-00",517,"2007-10-17 00:00:00+00:00","Tampa Bay Times","Homocide",2007,"Mentions once","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly collective","-8","8",""
"urn:contentItem:4SWD-MPS0-TW8F-G11H-00000-00",1334,"2008-07-01 00:00:00+00:00","New York Times","Homocide",2008,"Mentions once","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","0","3",""
"urn:contentItem:4TYX-X0R0-TW8F-G09Y-00000-00",999,"2008-11-21 00:00:00+00:00","New York Times","Homocide",2008,"Mostly","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-7","8",""
"urn:contentItem:4T77-C320-TW8F-G0DV-00000-00",1040,"2008-08-16 00:00:00+00:00","New York Times","Homocide",2008,"Slightly","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly collective","-7","7",""
"urn:contentItem:4TY7-Y6N0-TX2T-W0PP-00000-00",322,"2008-11-12 00:00:00+00:00","Star Tribune","Homocide",2008,"Not at all","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","0","1",""
"urn:contentItem:4RKK-P3F0-TW8F-G0KR-00000-00",95,"2008-01-15 00:00:00+00:00","New York Times","Homocide",2008,"Not at all","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","0","1",""
"urn:contentItem:7V21-4VY0-Y9NW-H35T-00000-00",855,"2009-02-18 00:00:00+00:00","Tampa Bay Times","Homocide",2009,"Slightly","Not mentioned and not implied","Policy, Other behavior, Community solutions","{'Gender': 'female', 'Mental Health': 'history of mental illness'}","Not mentioned and not implied","50","50","Both","-7","8",""
"urn:contentItem:4VGX-SDK0-TX2T-W0CV-00000-00",825,"2009-01-30 00:00:00+00:00","Star Tribune","Homocide",2009,"Mostly","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Both","-8","7",""
"urn:contentItem:7WCR-MJF1-2R4P-F013-00000-00",268,"2009-08-14 00:00:00+00:00","Star Tribune","Homocide",2009,"Mostly","Lifestyle","Not mentioned and not implied","{'Race': 'Not mentioned', 'Gender': 'female', 'Age': 'young-adult', 'SES': 'Not mentioned'}","70","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-8","8",""
"urn:contentItem:7WRG-CNY1-2PBB-23MV-00000-00",1006,"2009-09-29 00:00:00+00:00","New York Times","Homocide",2009,"Mentions once","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-5","5",""
"urn:contentItem:7WTV-13G1-2PBB-2203-00000-00",309,"2009-10-10 00:00:00+00:00","New York Times","Homocide",2009,"Mostly","Environmental","Policy, Community solutions","Age = young-adult, SES = Not mentioned and not implied, Race = Not mentioned and not implied, Gender = Not mentioned and not implied","50","70","90","Mostly collective","-9","9",""
"urn:contentItem:7YJN-BJC1-2PBB-224F-00000-00",1127,"2010-05-27 00:00:00+00:00","New York Times","Homocide",2010,"Mentions once","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","-5","5",""
"urn:contentItem:800N-1X11-2R6T-T38R-00000-00",704,"2010-07-22 00:00:00+00:00","Tampa Bay Times","Homocide",2010,"Mostly","Lifestyle","Not mentioned and not implied","{'Race': 'Not mentioned', 'Gender': 'female', 'Age': 'young-adult', 'SES': 'Not mentioned'}","70","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-8","9",""
"urn:contentItem:7YBN-B1P0-Y9KS-5361-00000-00",170,"2010-04-28 00:00:00+00:00","Star Tribune","Homocide",2010,"Mostly","Not mentioned and not implied","Not mentioned and not implied","{'Gender': 'female', 'Age': 'young-adult'}","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Only individual","-8","9",""
"urn:contentItem:51J6-7WH1-DYRH-9089-00000-00",901,"2010-11-21 00:00:00+00:00","Star Tribune","Homocide",2010,"Slightly","Not mentioned and not implied","Community solutions","Not mentioned and not implied","Not mentioned and not implied","50","90","Mostly individual","-8","7",""
"urn:contentItem:51CG-S1H1-DYRH-911V-00000-00",1179,"2010-10-30 00:00:00+00:00","Star Tribune","Homocide",2010,"Mentions once","Environmental","Community solutions","Age = young-adult","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Both","0","3",""
"urn:contentItem:53VF-W451-DYTM-N2TG-00000-00",687,"2011-09-21 00:00:00+00:00","Tampa Bay Times","Homocide",2011,"Mostly","Not mentioned and not implied","Not mentioned and not implied","[{'Gender': 'female'}, {'Age': 'middle-aged'}]","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-8","9",""
"urn:contentItem:52JT-CR41-DXY4-X07V-00000-00",401,"2011-04-07 00:00:00+00:00","New York Times","Homocide",2011,"Slightly","['Environmental']","['Policy']","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-8","8",""
"urn:contentItem:54KH-SYD1-DXY4-X2T3-00000-00",596,"2011-12-29 00:00:00+00:00","New York Times","Homocide",2011,"Mentions once","Not mentioned and not implied","Policy, Community solutions","Not mentioned and not implied","Not mentioned and not implied","80","90","Both","0","1",""
"urn:contentItem:5MX7-6CM1-JBG3-64DW-00000-00",908,"2011-11-10 00:00:00+00:00","New York Times","Homocide",2011,"Mostly","['Environmental', 'Lifestyle']","['Policy', 'Community solutions']","[{'SES': 'poor'}]","40","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-8","9",""
"urn:contentItem:534V-J811-DYTM-N1Y8-00000-00",334,"2011-06-21 00:00:00+00:00","Tampa Bay Times","Homocide",2011,"Mostly","Not mentioned and not implied","Innovations/Technology, Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","70","50","Mostly individual","-8","9",""
"urn:contentItem:55VP-MKN1-DXY4-X2XR-00000-00",1129,"2012-06-10 00:00:00+00:00","New York Times","Homocide",2012,"Mentions once","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","0","1",""
"urn:contentItem:56G6-9V61-JBG3-60JR-00000-00",144,"2012-09-01 00:00:00+00:00","New York Times","Homocide",2012,"Slightly","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-8","8",""
"urn:contentItem:57CH-Y0F1-JC8F-K1BT-00000-00",256,"2012-12-22 00:00:00+00:00","Star Tribune","Homocide",2012,"Mostly","['Environmental', 'Lifestyle']","['Not mentioned and not implied']","['Race = assumed Black (as mentioned referencing Crips gang members)', 'Gender = male', 'Age = adult']","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-9","10",""
"urn:contentItem:564S-HF01-JC8F-K2V4-00000-00",780,"2012-07-18 00:00:00+00:00","Star Tribune","Homocide",2012,"Not at all","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Both","0","1",""
"urn:contentItem:56WX-RM61-DXY4-X075-00000-00",1071,"2012-10-26 00:00:00+00:00","New York Times","Homocide",2012,"Mostly","Not mentioned and not implied","Policy, Community solutions","Demographics of person with health risk or at-risk populations, e.g., [SES = poor, Age = young (victims), Gender = mixed]","Not mentioned and not implied","60","70","Mostly individual","-8","9",""
"urn:contentItem:580V-KMC1-JBG3-63D5-00000-00",671,"2013-03-20 00:00:00+00:00","New York Times","Homocide",2013,"Mostly","Not mentioned and not implied","Community solutions","Not mentioned and not implied","Not mentioned and not implied","60","80","Mostly collective","-8","9",""
"urn:contentItem:57RJ-JMV1-JC8F-K0HN-00000-00",754,"2013-02-13 00:00:00+00:00","Star Tribune","Homocide",2013,"Not at all","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","0","1",""
"urn:contentItem:57X9-1X51-JBG3-61RB-00000-00",1296,"2013-03-08 00:00:00+00:00","New York Times","Homocide",2013,"Mentions once","Environmental","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Only collective","-8","8",""
"urn:contentItem:5BSV-RF81-JC8F-K19D-00000-00",251,"2013-03-08 00:00:00+00:00","Star Tribune","Homocide",2013,"Mentions once","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Only collective","-8","9",""
"urn:contentItem:57FG-R201-DYRR-90FC-00000-00",589,"2013-01-07 00:00:00+00:00","USA Today","Homocide",2013,"Mostly","['Environmental', 'Lifestyle']","['Policy', 'Community solutions']","['Gender = male', 'Age = young-adult', 'SES = affected by divorce']","70","60","75","Both","-8","8",""
"urn:contentItem:5C7V-YN21-JC8F-K02C-00000-00",1032,"2014-05-18 00:00:00+00:00","Star Tribune","Homocide",2014,"Not at all","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","0","1",""
"urn:contentItem:5CB8-K1N1-DXY4-X350-00000-00",1295,"2014-06-01 00:00:00+00:00","New York Times","Homocide",2014,"Mentions once","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Both","0","5",""
"urn:contentItem:5DWR-X8H1-JBG3-634R-00000-00",843,"2014-12-22 00:00:00+00:00","New York Times","Homocide",2014,"Mostly","Not mentioned and not implied","Policy, Community solutions","{'Race': ['black', 'white'], 'Gender': ['male', 'female'], 'Age': ['young'], 'SES': ['poor']}","Not mentioned and not implied","50","80","Mostly individual","-8","9",""
"urn:contentItem:5DRX-GY11-DXY4-X4PN-00000-00",1322,"2014-12-04 00:00:00+00:00","New York Times","Homocide",2014,"Mostly","Environmental","['Policy', 'Community solutions', 'Innovations/Technology']","[{'Race': 'black', 'Gender': 'male', 'Age': 'middle-aged', 'SES': 'poor'}, {'Race': 'white', 'Gender': 'male', 'Age': 'young-adult', 'SES': 'Not mentioned'}]","Not mentioned and not implied","70","80","Both","-8","9",""
"urn:contentItem:5D70-B191-DXY4-X15R-00000-00",927,"2014-09-25 00:00:00+00:00","New York Times","Homocide",2014,"Not at all","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","0","1",""
"urn:contentItem:5GYY-VNB1-JC8N-K3BR-00000-00",388,"2015-09-21 00:00:00+00:00","USA Today","Homocide",2015,"Not at all","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","0","1",""
"urn:contentItem:5FNH-KMY1-JCBJ-Y49W-00000-00",769,"2015-04-03 00:00:00+00:00","Tampa Bay Times","Homocide",2015,"Mostly","Environmental, Lifestyle","Not mentioned and not implied","Demographics of person with health risk or at-risk populations, [Race = Not explicitly mentioned, Gender = male, Age = teens to young-adult, SES = involved in drug culture, potentially lower SES]","25","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-9","9",""
"urn:contentItem:5GSK-FNN1-DYRH-90MS-00000-00",715,"2015-08-26 00:00:00+00:00","Star Tribune","Homocide",2015,"Not at all","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","0","1",""
"urn:contentItem:5H7M-T731-JBG3-6088-00000-00",422,"2015-10-27 00:00:00+00:00","New York Times","Homocide",2015,"Mostly","Environmental","Community solutions, Policy","Not mentioned and not implied","70","50","80","Mostly collective","-8","9",""
"urn:contentItem:5H3K-BSD1-JBG3-63X1-00000-00",808,"2015-10-08 00:00:00+00:00","New York Times","Homocide",2015,"Mostly","Not mentioned and not implied","Policy","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Only collective","-9","10",""
"urn:contentItem:5JY8-H871-DYTM-N28P-00000-00",1241,"2016-05-29 00:00:00+00:00","Tampa Bay Times","Homocide",2016,"Mostly","Not mentioned and not implied","Not mentioned and not implied","{'Race': 'Mixed (Asian-American)', 'Gender': 'Male', 'Age': 'Young adult', 'SES': 'Working class'}","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-4","8",""
"urn:contentItem:5KDF-9JX1-JBG3-63DG-00000-00",516,"2016-08-07 00:00:00+00:00","New York Times","Homocide",2016,"Mentions once","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","0","1",""
